780	-41.72	0
779.2296	-41.631145	0.051298628
776.9328	-41.3801686	0.196194752
773.1492	-40.99824799	0.416688855
767.9418	-40.51967809	0.692981464
761.4024	-39.9631652	1.014272871
753.639	-39.34741565	1.369763362
744.7884	-38.68801803	1.75045318
735	-38.00367866	2.145542612
724.4412	-37.31933928	2.540632044
713.2938	-36.6583828	2.922221838
701.7468	-36.04886869	3.274112425
690	-35.51885641	3.580104241
678.2532	-35.09796431	3.823097741
666.7062	-34.812693	3.987793336
661.0704	-34.73007344	4.03549206
655.5588	-34.69110195	4.057991458
650.1948	-34.69889625	4.053491579
645	-34.75813292	4.019292493
639.9978	-34.86569423	3.957194154
635.2116	-35.02469791	3.86539661
630.6594	-35.2335851	3.744799836
626.361	-35.49391466	3.594503856
622.3344	-35.80412772	3.415408646
618.5976	-36.1642243	3.207514207
615.1686	-36.56796894	2.974420441
612.0582	-37.00756736	2.72062723
609.2808	-37.47990182	2.447934524
606.8508	-37.9865312	2.155442347
604.7754	-38.54148523	1.835050917
603.0672	-39.15411706	1.481360377
601.7298	-39.82754442	1.092570776
600.7704	-40.52435467	0.690281537
600.1926	-41.17595799	0.314091599
600	-41.72	0
600.1926	-42.26404201	-0.314091599
600.7704	-42.91564533	-0.690281537
601.7298	-43.61245558	-1.092570776
603.0672	-44.28588294	-1.481360377
604.7754	-44.89851478	-1.835050917
606.8508	-45.4534688	-2.155442347
609.2808	-45.96009818	-2.447934524
612.0582	-46.43243265	-2.72062723
615.1686	-46.87203106	-2.974420441
618.5976	-47.2757757	-3.207514207
622.3344	-47.63587228	-3.415408646
626.361	-47.94608534	-3.594503856
630.6594	-48.2064149	-3.744799836
635.2116	-48.41530209	-3.86539661
639.9978	-48.57430577	-3.957194154
645	-48.68186708	-4.019292493
650.1948	-48.74110375	-4.053491579
655.5588	-48.74889805	-4.057991458
661.0704	-48.70992656	-4.03549206
666.7062	-48.627307	-3.987793336
678.2532	-48.34203569	-3.823097741
690	-47.92114359	-3.580104241
701.7468	-47.39113132	-3.274112425
713.2938	-46.7816172	-2.922221838
724.4412	-46.12066072	-2.540632044
735	-45.43632135	-2.145542612
744.7884	-44.75198197	-1.75045318
753.639	-44.09258435	-1.369763362
761.4024	-43.4768348	-1.014272871
767.9418	-42.92032191	-0.692981464
773.1492	-42.44175201	-0.416688855
776.9328	-42.0598314	-0.196194752
779.2296	-41.808855	-0.051298628
780	-41.72	0
